brand_name,property,city,room_type,available_contracts,contract_title,academic_year,price_pw,currency_symbol,available,start_date,end_date,contract_length_weeks,base_hub_url
Prestige Student Living,33 Parkside,Coventry,Premium 2 Bed Apartment,2,33 Parkside - Premium 2 Bed Apartment - 25/26 - 28/02 - 27wk 2026,2025 / 2026,182,£,True,2026-02-28,2026-09-05,27,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+2+Bed+Apartment&tenancyLength=27+weeks&academicYear=2025+%2F+2026
Prestige Student Living,33 Parkside,Coventry,Premium Mezzanine Studio,1,33 Parkside - Premium Mezzanine Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,345,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Mezzanine+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Premium Studio,3,33 Parkside - Premium Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,199,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Premium Studio,3,33 Parkside - Premium Studio - 26/27 - 05/09 - 45wk 2026,2026 / 2027,206,£,True,2026-09-05,2027-07-17,45,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Premium Studio,3,33 Parkside - Premium Studio - 25/26 - 28/02 - 27wk 2026,2025 / 2026,0,£,True,2026-02-28,2026-09-05,27,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Studio&tenancyLength=27+weeks&academicYear=2025+%2F+2026
Prestige Student Living,33 Parkside,Coventry,Super Deluxe Studio,1,33 Parkside - Super Deluxe Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,219,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Super+Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Classic Studio,2,79 Silver Street - Classic Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,318,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Classic+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Classic Studio,2,79 Silver Street - Classic Studio - 26/27 - 12/09 - 44wk 2026,2026 / 2027,328,£,True,2026-09-12,2027-07-17,44,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Classic+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Deluxe Studio,2,79 Silver Street - Deluxe Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,350,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Deluxe Studio,2,79 Silver Street - Deluxe Studio - 26/27 - 12/09 - 44wk 2026,2026 / 2027,370,£,True,2026-09-12,2027-07-17,44,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Deluxe+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Premium Double Apartment,1,79 Silver Street - Premium Double Apartment - 26/27 - 12/09 - 51wk 2026,2026 / 2027,415,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Premium+Double+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Premium Studio,2,79 Silver Street - Premium Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,328,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Premium Studio,2,79 Silver Street - Premium Studio - 26/27 - 12/09 - 44wk 2026,2026 / 2027,338,£,True,2026-09-12,2027-07-17,44,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Premium+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027
Prestige Student Living,79 Silver Street,Reading,Super Deluxe Studio,1,79 Silver Street - Super Deluxe Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,370,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Super+Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
